"car_value","salary_range","debt_to_income_ratio","loan_length","repaid_loan_on_prev_car","size_of_downpayment","driver_tenure","repaid"
11755,"0 - 20K €",0.291282379,15,FALSE,"30%",2.881125097,0
19740,"0 - 20K €",0.723628181,18,TRUE,"30%",6.484235775,1
10983,"20K - 40K €",0.713792584,12,TRUE,"30%",5.787455499,1
49966,"20K - 40K €",0.71304183,21,TRUE,"10%",6.551378843,1
14060,"60K+ €",0.72216995,21,TRUE,"40%",1.050151616,1
11770,"20K - 40K €",0.706208233,16,TRUE,"30%",3.203181703,1
28322,"20K - 40K €",0.713203525,20,TRUE,"0%",6.769380189,1
10459,"0 - 20K €",0.464928195,8,TRUE,"30%",6.507537264,0
12229,"0 - 20K €",0.298460794,14,FALSE,"0%",3.687937563,0
82302,"60K+ €",0.731761341,19,FALSE,"30%",0.040040364,1
19697,"20K - 40K €",0.609003542,6,TRUE,"40%",6.35851674,0
61517,"20K - 40K €",0.709825737,21,TRUE,"20%",6.557148646,1
62649,"20K - 40K €",0.714754098,6,TRUE,"20%",0.110059305,1
98558,"0 - 20K €",0.288656612,11,TRUE,"20%",6.815624134,1
26926,"20K - 40K €",0.686167391,16,TRUE,"30%",6.726866517,1
12117,"60K+ €",0.697829233,21,FALSE,"20%",1.487190591,1
13034,"0 - 20K €",0.59683112,13,TRUE,"30%",1.927629579,0
21286,"40K - 60K €",0.697222299,21,FALSE,"30%",NA,1
63403,"20K - 40K €",0.701121327,6,TRUE,"30%",0.111071992,1
62819,"0 - 20K €",0.422598994,21,TRUE,"40%",NA,0
43052,"60K+ €",0.630547258,10,FALSE,"30%",NA,1
19038,"20K - 40K €",0.729602637,18,FALSE,"0%",NA,1
15805,"20K - 40K €",0.710574729,20,FALSE,"10%",1.614859552,1
70962,"20K - 40K €",0.617976582,18,TRUE,"10%",6.181693879,1
64468,"20K - 40K €",0.699712089,15,FALSE,"20%",0.291363883,1
76071,"40K - 60K €",0.683488726,15,FALSE,"40%",0.398841153,1
61757,"0 - 20K €",0.346264376,20,TRUE,"40%",6.749803308,0
17221,"0 - 20K €",0.56808778,16,TRUE,"0%",6.093308245,0
11614,"0 - 20K €",0.284381163,12,FALSE,"40%",5.75181818,0
16058,"20K - 40K €",0.70427151,20,FALSE,"10%",1.409060367,1
13499,"40K - 60K €",0.7274695,20,TRUE,"20%",5.998274016,1
60228,"20K - 40K €",0.535330167,6,FALSE,"40%",6.680694132,0
35560,"60K+ €",0.728879944,7,TRUE,"0%",4.40015226,0
17761,"20K - 40K €",0.730894709,14,TRUE,"20%",1.12337008,1
14034,"40K - 60K €",0.724585063,19,TRUE,"40%",6.038809355,1
64045,"0 - 20K €",0.587777533,20,TRUE,"40%",6.587708217,1
13299,"20K - 40K €",0.697276118,6,TRUE,"20%",6.604617512,0
12351,"0 - 20K €",0.266800487,14,FALSE,"30%",5.285965976,0
36026,"0 - 20K €",0.537119674,11,TRUE,"40%",6.84042447,1
14240,"20K - 40K €",0.706293868,13,TRUE,"0%",6.943945656,1
53573,"0 - 20K €",0.271325746,19,FALSE,"30%",6.850972323,0
10801,"20K - 40K €",0.639811534,21,TRUE,"30%",4.00822891,1
16063,"20K - 40K €",0.570076004,7,FALSE,"40%",NA,0
19887,"60K+ €",0.559770093,6,TRUE,"20%",5.118274533,0
43904,"0 - 20K €",0.526809275,19,FALSE,"30%",6.120310477,0
14461,"40K - 60K €",0.683351453,16,FALSE,"40%",0.235637887,1
14032,"0 - 20K €",0.291890949,16,FALSE,"30%",6.449006112,0
16061,"40K - 60K €",0.619550329,13,TRUE,"20%",5.089009905,1
29310,"20K - 40K €",0.716147136,19,FALSE,"20%",1.056198902,1
74047,"0 - 20K €",0.507248377,21,TRUE,"30%",6.619925925,0
16305,"0 - 20K €",0.690454545,13,TRUE,"30%",NA,0
48120,"0 - 20K €",0.404062776,6,FALSE,"40%",6.629639212,0
18913,"40K - 60K €",0.728725372,8,TRUE,"0%",5.826372256,0
46410,"0 - 20K €",0.349258731,20,FALSE,"40%",5.836986292,0
10370,"0 - 20K €",0.596502105,21,FALSE,"0%",6.886725655,1
16398,"20K - 40K €",0.655447113,18,FALSE,"0%",0.420750259,1
79347,"40K - 60K €",0.725604374,14,FALSE,"20%",0.053835448,1
22058,"40K - 60K €",0.719899825,21,TRUE,"0%",4.242596992,1
26973,"0 - 20K €",0.290703099,18,FALSE,"10%",6.220892798,0
24376,"20K - 40K €",0.692731146,11,TRUE,"10%",3.585636229,0
12135,"0 - 20K €",0.662002702,16,TRUE,"0%",2.208004176,1
13052,"60K+ €",0.729204772,9,TRUE,"0%",0.79746539,0
54195,"0 - 20K €",0.487003417,21,TRUE,"40%",5.577434686,0
32503,"20K - 40K €",0.699951464,20,TRUE,"20%",5.129378043,1
19208,"20K - 40K €",0.726545547,17,TRUE,"40%",3.962117249,1
37050,"0 - 20K €",0.703283635,6,TRUE,"30%",4.964557023,0
20379,"20K - 40K €",0.554258294,11,TRUE,"30%",NA,1
67002,"0 - 20K €",0.674458955,20,FALSE,"40%",1.204286641,1
10290,"60K+ €",0.726695158,16,TRUE,"30%",2.855961969,1
84352,"0 - 20K €",0.367815741,20,FALSE,"40%",6.828068752,0
33687,"20K - 40K €",0.692455558,21,TRUE,"0%",5.646839544,0
15288,"0 - 20K €",0.276521447,13,FALSE,"30%",NA,0
35747,"40K - 60K €",0.713809616,6,TRUE,"20%",0.688300835,0
40729,"20K - 40K €",0.484529573,6,TRUE,"30%",5.734050378,0
30520,"40K - 60K €",0.657362039,6,TRUE,"40%",5.017981034,0
10575,"0 - 20K €",0.393703,15,FALSE,"0%",1.576753853,0
60590,"0 - 20K €",0.60036146,19,FALSE,"20%",NA,0
11558,"20K - 40K €",0.703917844,14,TRUE,"10%",4.954552685,1
26896,"20K - 40K €",0.547882483,7,TRUE,"20%",5.765274993,0
16401,"0 - 20K €",0.692376169,15,TRUE,"20%",6.064592118,1
19893,"0 - 20K €",0.673419094,16,FALSE,"0%",1.901390995,1
17330,"60K+ €",0.728533313,6,TRUE,"0%",6.820424587,0
12509,"20K - 40K €",0.728285789,6,FALSE,"10%",5.732334406,0
39284,"0 - 20K €",0.372120821,18,FALSE,"0%",6.547399595,0
60010,"0 - 20K €",0.685805558,7,TRUE,"20%",0.213763502,1
17184,"60K+ €",0.71609179,21,TRUE,"10%",5.531448373,1
14484,"0 - 20K €",0.480114698,16,FALSE,"0%",5.909466283,0
35143,"40K - 60K €",0.627741152,20,FALSE,"40%",0.806488174,1
47038,"40K - 60K €",0.667570113,15,FALSE,"20%",0.506484677,1
16755,"40K - 60K €",0.704014054,21,FALSE,"10%",0.386970095,1
14544,"20K - 40K €",0.61600865,21,FALSE,"40%",2.669056866,1
10916,"20K - 40K €",0.689824159,7,TRUE,"20%",4.039229547,0
51242,"0 - 20K €",0.668011013,11,FALSE,"10%",0.191053568,1
98417,"0 - 20K €",0.368155796,21,FALSE,"40%",6.900037073,0
17456,"0 - 20K €",0.30527915,17,FALSE,"10%",2.203228444,0
73076,"20K - 40K €",0.556884208,6,FALSE,"40%",6.819018381,0
14105,"0 - 20K €",0.292140785,13,FALSE,"30%",6.851517339,0
17072,"20K - 40K €",0.713710258,12,TRUE,"10%",6.507071311,1
20354,"20K - 40K €",0.653770821,10,TRUE,"30%",6.613183207,1
11435,"20K - 40K €",0.632898555,20,FALSE,"10%",4.014640284,1
53451,"20K - 40K €",0.671628957,6,TRUE,"20%",6.939636944,0
25823,"20K - 40K €",0.491019894,6,TRUE,"40%",NA,0
10173,"60K+ €",0.730391487,6,TRUE,"0%",5.278745545,0
17953,"20K - 40K €",0.610598419,6,TRUE,"20%",6.851778887,0
17313,"20K - 40K €",0.684257838,17,FALSE,"0%",1.159461983,1
56266,"0 - 20K €",0.623558332,6,TRUE,"40%",6.373281698,0
37177,"20K - 40K €",0.638660901,20,FALSE,"20%",NA,1
14375,"20K - 40K €",0.72645513,21,TRUE,"0%",6.287210494,1
11896,"20K - 40K €",0.723665734,7,TRUE,"0%",6.940486083,0
11761,"0 - 20K €",0.492479277,16,TRUE,"0%",5.885140112,0
30432,"0 - 20K €",0.334860906,18,FALSE,"30%",6.031703139,0
12261,"40K - 60K €",0.65269578,12,TRUE,"10%",5.803759338,1
29484,"40K - 60K €",0.69421584,6,FALSE,"30%",5.836902544,0
16286,"20K - 40K €",0.711101471,19,TRUE,"40%",6.729555861,1
69931,"0 - 20K €",0.32804733,6,TRUE,"40%",6.820977506,0
43182,"0 - 20K €",0.343388692,20,FALSE,"40%",5.668081304,0
51865,"20K - 40K €",0.705665876,21,TRUE,"30%",4.37042029,1
14554,"0 - 20K €",0.274662456,16,FALSE,"0%",4.68322349,0
27465,"0 - 20K €",0.660614609,18,TRUE,"0%",6.444849453,1
39011,"0 - 20K €",0.323025693,19,TRUE,"40%",6.958210467,0
12841,"60K+ €",0.731211752,12,TRUE,"0%",2.250034773,0
18770,"0 - 20K €",0.357517286,17,FALSE,"10%",4.533811793,0
24098,"20K - 40K €",0.711583148,9,FALSE,"20%",0.391100402,1
19062,"40K - 60K €",0.69068222,19,FALSE,"30%",0.488075042,1
20464,"0 - 20K €",0.617342478,6,FALSE,"40%",6.649145063,0
22618,"0 - 20K €",0.316132572,8,TRUE,"40%",6.46030985,0
71647,"0 - 20K €",0.577081042,21,FALSE,"10%",5.657564126,0
39804,"0 - 20K €",0.699209484,17,TRUE,"10%",6.906093857,1
81579,"20K - 40K €",0.64644765,19,TRUE,"0%",6.802544919,1
11884,"60K+ €",0.72838272,20,TRUE,"0%",3.937249085,1
10399,"0 - 20K €",0.316660927,13,FALSE,"10%",5.04271964,0
12918,"20K - 40K €",0.706694785,7,TRUE,"30%",3.699326697,0
12856,"0 - 20K €",0.727774242,12,TRUE,"10%",6.60390169,1
56076,"40K - 60K €",0.721919279,20,FALSE,"20%",0.633159046,1
19028,"40K - 60K €",0.69508212,20,FALSE,"40%",3.89542279,1
13244,"20K - 40K €",0.629444721,21,FALSE,"20%",1.968958273,0
31924,"60K+ €",0.616747559,6,TRUE,"30%",4.58606083,0
10591,"0 - 20K €",0.413931781,11,TRUE,"0%",0.844281489,0
47643,"0 - 20K €",0.629580319,11,TRUE,"40%",NA,0
50907,"0 - 20K €",0.694778016,21,TRUE,"30%",6.064723285,1
19147,"20K - 40K €",0.599868968,10,FALSE,"20%",0.345592238,1
12472,"40K - 60K €",0.709423942,17,TRUE,"20%",4.844817039,1
12682,"0 - 20K €",0.405697295,7,TRUE,"40%",6.733355924,0
31419,"60K+ €",0.726810441,20,FALSE,"40%",0.349183476,1
11818,"0 - 20K €",0.262589548,12,FALSE,"10%",4.839118676,0
26357,"60K+ €",0.587260746,15,TRUE,"30%",6.165593849,1
15077,"20K - 40K €",0.701495379,13,TRUE,"30%",6.475298301,1
29552,"40K - 60K €",0.718841898,21,TRUE,"30%",NA,1
13319,"60K+ €",0.728631454,6,TRUE,"0%",6.095901134,0
64524,"60K+ €",0.72977624,6,TRUE,"30%",0.019529314,1
33191,"0 - 20K €",0.472766092,20,FALSE,"10%",5.997027398,0
22734,"20K - 40K €",0.715489722,17,FALSE,"10%",0.63922923,1
60245,"0 - 20K €",0.335481058,18,FALSE,"40%",6.572965445,0
32688,"0 - 20K €",0.616568861,14,FALSE,"30%",NA,1
50722,"20K - 40K €",0.728096852,12,FALSE,"10%",0.511828725,1
15319,"0 - 20K €",0.703069913,9,TRUE,"10%",6.426592065,0
24454,"0 - 20K €",0.364440111,19,FALSE,"0%",3.992317555,0
22459,"40K - 60K €",0.7062559,21,FALSE,"40%",0.527302732,1
18090,"40K - 60K €",0.537421908,6,TRUE,"30%",5.612591492,0
17242,"0 - 20K €",0.306678488,14,FALSE,"10%",4.130372087,0
39911,"0 - 20K €",0.455414549,20,FALSE,"10%",NA,0
11380,"0 - 20K €",0.432948,14,FALSE,"10%",NA,0
22976,"0 - 20K €",0.302340151,17,FALSE,"30%",6.500967589,0
13784,"20K - 40K €",0.678616301,7,TRUE,"10%",6.131023209,0
12251,"60K+ €",0.729755103,19,TRUE,"10%",2.822219601,1
51698,"40K - 60K €",0.519695464,13,TRUE,"30%",5.363789822,1
17017,"40K - 60K €",0.577268743,6,TRUE,"40%",5.370675872,0
78995,"0 - 20K €",0.51022582,20,FALSE,"10%",4.318715837,0
98093,"0 - 20K €",0.296594942,21,FALSE,"40%",6.886389536,0
20981,"0 - 20K €",0.331142558,19,FALSE,"10%",4.364982566,0
49702,"20K - 40K €",0.580920196,18,TRUE,"20%",6.335160198,1
38944,"0 - 20K €",0.674434571,20,FALSE,"10%",5.718723156,0
13698,"60K+ €",0.684790446,20,TRUE,"30%",2.256311088,1
28389,"60K+ €",0.703880305,6,TRUE,"20%",5.885709219,0
46086,"60K+ €",0.704964732,6,TRUE,"20%",4.907753174,0
20502,"40K - 60K €",0.642098238,14,FALSE,"30%",NA,1
21077,"20K - 40K €",0.639141302,21,FALSE,"30%",1.813943376,1
32076,"40K - 60K €",0.689236698,20,FALSE,"30%",0.544995524,1
50064,"40K - 60K €",0.723876885,14,FALSE,"30%",0.126539908,1
16397,"0 - 20K €",0.650675792,13,FALSE,"10%",1.62598848,1
12407,"40K - 60K €",0.692862891,21,FALSE,"10%",1.535127294,1
63043,"0 - 20K €",0.28389662,19,FALSE,"30%",6.859948564,0
64284,"0 - 20K €",0.492953694,8,TRUE,"40%",5.65592241,0
14793,"0 - 20K €",0.62089283,13,TRUE,"0%",6.728089135,1
94363,"20K - 40K €",0.480555463,17,TRUE,"10%",6.85610655,1
54868,"0 - 20K €",0.369656047,20,FALSE,"40%",6.932940323,0
31329,"0 - 20K €",0.416545228,18,FALSE,"10%",6.815846865,0
12562,"60K+ €",0.695530286,14,TRUE,"30%",3.399106821,1
48224,"0 - 20K €",0.717284319,20,TRUE,"30%",6.73226931,1
79893,"0 - 20K €",0.601010292,20,TRUE,"30%",6.737045315,1
12339,"20K - 40K €",0.700503376,20,TRUE,"30%",4.613322081,1
36715,"20K - 40K €",0.69885042,15,TRUE,"0%",6.55229496,1
48507,"0 - 20K €",0.461043007,20,TRUE,"10%",NA,0
16760,"20K - 40K €",0.718743729,15,TRUE,"0%",6.882682975,1
19282,"40K - 60K €",0.702613683,18,FALSE,"40%",1.340014729,1
20194,"0 - 20K €",0.717889303,17,TRUE,"10%",6.886943032,1
37201,"0 - 20K €",0.566028562,6,TRUE,"40%",4.680015169,0
10751,"20K - 40K €",0.730576392,15,TRUE,"0%",2.159661834,0
15224,"0 - 20K €",0.273347471,18,TRUE,"0%",5.739012599,0
13737,"0 - 20K €",0.33676314,13,FALSE,"30%",6.629457987,0
70639,"0 - 20K €",0.284607762,20,FALSE,"30%",6.941870375,0
12631,"0 - 20K €",0.67611121,10,TRUE,"20%",6.15203177,0
13624,"20K - 40K €",0.683488125,6,TRUE,"30%",6.523166064,0
28453,"40K - 60K €",0.712806728,19,FALSE,"30%",0.589671048,1
57488,"20K - 40K €",0.676883636,21,TRUE,"20%",6.52916367,1
43129,"0 - 20K €",0.360813366,20,FALSE,"10%",5.545939615,0
11469,"40K - 60K €",0.703880687,17,TRUE,"10%",3.331933271,1
11905,"20K - 40K €",0.531296523,21,FALSE,"0%",5.732957474,1
37402,"40K - 60K €",0.71344451,9,TRUE,"10%",1.751261305,0
65123,"20K - 40K €",0.722587586,12,FALSE,"30%",0.146863208,1
14562,"20K - 40K €",0.55616291,21,FALSE,"40%",5.276399238,1
14490,"60K+ €",0.630350828,6,TRUE,"20%",2.934241153,0
10053,"40K - 60K €",0.729934482,8,TRUE,"10%",6.091633879,1
44276,"0 - 20K €",0.53179409,20,FALSE,"30%",6.943264414,0
15587,"20K - 40K €",0.702050758,18,FALSE,"10%",2.125586759,1
18050,"20K - 40K €",0.711205503,19,FALSE,"10%",2.132574546,1
11661,"0 - 20K €",0.401486244,16,TRUE,"10%",5.547715003,0
24287,"60K+ €",0.72333044,19,FALSE,"40%",0.337473671,1
18328,"0 - 20K €",0.285043989,16,TRUE,"0%",5.147367315,0
20828,"20K - 40K €",0.542549681,21,FALSE,"30%",0.813899534,1
11057,"20K - 40K €",0.649830106,21,FALSE,"20%",3.535362988,1
89080,"0 - 20K €",0.41373517,17,TRUE,"40%",6.868927935,1
11231,"20K - 40K €",0.66236843,21,FALSE,"10%",NA,1
13995,"0 - 20K €",0.656093094,10,TRUE,"10%",5.801716531,0
25113,"20K - 40K €",0.717803499,18,TRUE,"40%",5.693013265,1
26995,"20K - 40K €",0.679452602,21,FALSE,"20%",0.771295673,1
24659,"0 - 20K €",0.423555518,18,FALSE,"20%",6.434619583,0
28601,"20K - 40K €",0.717148682,11,TRUE,"10%",NA,0
15208,"40K - 60K €",0.635946567,6,TRUE,"30%",5.46928092,0
15968,"0 - 20K €",0.495568784,19,FALSE,"30%",6.329607771,0
24659,"40K - 60K €",0.611533707,18,TRUE,"40%",1.017018226,1
45771,"60K+ €",0.721862388,20,FALSE,"20%",0.396893522,1
22008,"0 - 20K €",0.319619973,19,FALSE,"0%",6.282752556,0
12736,"0 - 20K €",0.399503662,17,TRUE,"10%",NA,0
11785,"0 - 20K €",0.551570417,6,TRUE,"40%",6.674400502,0
11751,"20K - 40K €",0.705832928,13,TRUE,"40%",5.126953981,1
29038,"20K - 40K €",0.700427333,8,TRUE,"20%",6.710876831,0
84108,"40K - 60K €",0.718040553,6,TRUE,"30%",4.364564483,1
12377,"20K - 40K €",0.729949767,21,TRUE,"20%",6.522861934,1
13205,"40K - 60K €",0.728935277,6,TRUE,"0%",6.835409018,0
33612,"40K - 60K €",0.727943778,12,FALSE,"10%",2.428977553,0
29023,"20K - 40K €",0.611657866,21,FALSE,"40%",0.762708291,1
11060,"0 - 20K €",0.341891742,12,FALSE,"10%",4.068529055,0
15085,"40K - 60K €",0.696707138,16,TRUE,"0%",1.427405616,1
14487,"0 - 20K €",0.516973335,19,FALSE,"10%",NA,0
22894,"0 - 20K €",0.374678837,18,FALSE,"0%",4.824032383,0
46727,"0 - 20K €",0.48465559,20,TRUE,"40%",6.734302345,0
27228,"60K+ €",0.609479165,21,TRUE,"40%",4.134117549,1
13325,"40K - 60K €",0.675657344,6,TRUE,"40%",NA,0
17490,"60K+ €",0.688527746,6,TRUE,"20%",6.565824668,0
31388,"0 - 20K €",0.66074006,12,FALSE,"10%",0.365449602,1
22211,"0 - 20K €",0.50487022,19,FALSE,"0%",4.256109732,0
10804,"20K - 40K €",0.693078875,22,FALSE,"0%",6.532691015,1
11240,"0 - 20K €",0.560199598,19,FALSE,"10%",3.316272378,1
14306,"40K - 60K €",0.72630999,21,TRUE,"20%",5.119721611,1
21472,"0 - 20K €",0.321597994,15,FALSE,"0%",5.934795716,0
21817,"40K - 60K €",0.704468368,21,FALSE,"40%",3.711692604,1
38894,"20K - 40K €",0.3443809,6,TRUE,"40%",NA,0
47479,"60K+ €",0.724091389,18,FALSE,"40%",0.283045681,1
49709,"0 - 20K €",0.711936357,14,FALSE,"30%",0.444740481,1
11803,"0 - 20K €",0.272337262,15,FALSE,"10%",6.383037663,0
47037,"0 - 20K €",0.689499496,20,TRUE,"10%",6.156134527,0
11366,"0 - 20K €",0.293414479,18,FALSE,"10%",3.796933233,0
24756,"0 - 20K €",0.6820705,9,FALSE,"0%",0.436302971,1
20641,"0 - 20K €",0.676921102,12,TRUE,"10%",6.709465824,1
15115,"40K - 60K €",0.702780076,19,FALSE,"0%",0.695972648,1
27919,"20K - 40K €",0.683944622,19,FALSE,"10%",0.249657875,1
52803,"0 - 20K €",0.714451142,20,TRUE,"40%",6.514164151,1
12753,"20K - 40K €",0.70324117,19,TRUE,"10%",3.462120561,1
10948,"0 - 20K €",0.691865364,8,TRUE,"20%",6.467105673,0
38438,"0 - 20K €",0.368706968,19,FALSE,"30%",6.811494699,0
16658,"20K - 40K €",0.60391859,6,TRUE,"30%",6.183555757,0
17991,"20K - 40K €",0.727325589,7,TRUE,"20%",5.52318283,0
66487,"20K - 40K €",0.656326193,21,TRUE,"30%",NA,1
14735,"60K+ €",0.689111567,13,TRUE,"40%",NA,1
19377,"20K - 40K €",0.724269741,21,TRUE,"20%",5.828829832,1
85954,"0 - 20K €",0.713458064,6,FALSE,"10%",0.109740784,1
23546,"60K+ €",0.707838686,13,FALSE,"30%",0.151262064,1
24694,"20K - 40K €",0.625209186,6,FALSE,"30%",6.01284699,0
21445,"40K - 60K €",0.627464242,14,TRUE,"30%",1.929340768,1
12268,"60K+ €",0.720062393,20,TRUE,"40%",5.244901573,1
13897,"20K - 40K €",0.703549383,10,TRUE,"20%",NA,0
21281,"40K - 60K €",0.720404803,6,TRUE,"0%",6.944568325,0
18284,"20K - 40K €",0.597136894,12,TRUE,"30%",6.855734673,1
11633,"0 - 20K €",0.272177599,13,FALSE,"10%",4.38807353,0
22532,"0 - 20K €",0.321285706,17,FALSE,"20%",6.829109631,0
43078,"0 - 20K €",0.358229928,20,TRUE,"40%",6.771205388,0
30692,"0 - 20K €",0.361510452,17,FALSE,"0%",6.530867845,0
38010,"20K - 40K €",0.559475845,6,TRUE,"40%",4.897777125,0
77982,"20K - 40K €",0.726872187,11,FALSE,"10%",0.139188647,1
66991,"60K+ €",0.706921758,7,TRUE,"0%",4.743903852,0
63597,"0 - 20K €",0.502052428,6,FALSE,"40%",6.865296398,0
41253,"0 - 20K €",0.365088142,18,FALSE,"40%",6.648301285,0
16438,"40K - 60K €",0.692741852,11,FALSE,"10%",0.222878405,1
81392,"20K - 40K €",0.546617854,20,TRUE,"40%",5.088082492,1
20727,"20K - 40K €",0.699537765,6,TRUE,"20%",0.245039129,1
54658,"20K - 40K €",0.663360458,19,TRUE,"20%",6.408639714,1
42461,"0 - 20K €",0.383841281,18,FALSE,"40%",6.805414126,0
12212,"60K+ €",0.722533434,21,TRUE,"30%",NA,1
66046,"0 - 20K €",0.275239372,20,FALSE,"30%",6.337807357,0
13580,"20K - 40K €",0.709742961,13,TRUE,"10%",3.989964816,0
24749,"40K - 60K €",0.704929114,19,FALSE,"20%",0.293528531,0
54107,"20K - 40K €",0.597771732,7,TRUE,"20%",6.445750446,0
15212,"20K - 40K €",0.710631408,6,FALSE,"20%",6.945002227,0
57196,"40K - 60K €",0.67645028,9,FALSE,"10%",0.068359391,1
80608,"20K - 40K €",0.469258217,12,TRUE,"0%",6.90667054,1
14007,"20K - 40K €",0.511587726,21,FALSE,"30%",3.239792268,1
18048,"40K - 60K €",0.712894179,20,FALSE,"30%",1.375679941,1
17086,"20K - 40K €",0.726900874,21,TRUE,"0%",NA,1
37661,"0 - 20K €",0.718186524,20,TRUE,"40%",6.891658599,1
48245,"40K - 60K €",0.722701506,6,TRUE,"10%",6.848353335,0
20582,"20K - 40K €",0.561544762,6,TRUE,"30%",2.09650762,1
16753,"0 - 20K €",0.379525218,18,FALSE,"30%",5.69373773,0
17278,"40K - 60K €",0.702239316,6,TRUE,"20%",6.540778093,0
37022,"40K - 60K €",0.690733814,21,TRUE,"30%",5.821713523,1
15954,"0 - 20K €",0.472232428,17,FALSE,"30%",5.872592232,0
16882,"0 - 20K €",0.267519862,15,TRUE,"40%",6.346989673,0
11548,"40K - 60K €",0.684296066,6,TRUE,"30%",5.744554835,0
40731,"0 - 20K €",0.588795731,20,TRUE,"10%",4.65988052,0
43715,"20K - 40K €",0.728204775,15,FALSE,"20%",0.701626833,1
18479,"40K - 60K €",0.70340752,18,FALSE,"0%",0.44561215,1
29412,"40K - 60K €",0.638464309,19,TRUE,"30%",6.573017488,1
22370,"0 - 20K €",0.265659867,15,FALSE,"30%",6.238903729,0
21093,"40K - 60K €",0.667736269,7,TRUE,"0%",3.63261804,0
45562,"0 - 20K €",0.34772787,18,FALSE,"10%",6.450605003,0
36952,"20K - 40K €",0.541970795,14,TRUE,"10%",6.509302177,1
65161,"0 - 20K €",0.678426743,20,TRUE,"20%",NA,1
44777,"0 - 20K €",0.27380485,6,TRUE,"40%",2.340401446,0
26520,"0 - 20K €",0.532902706,18,FALSE,"20%",NA,0
13523,"20K - 40K €",0.713138445,8,TRUE,"10%",5.384223831,0
13209,"20K - 40K €",0.532541499,10,TRUE,"30%",2.886431324,0
16581,"60K+ €",0.725427224,21,FALSE,"30%",0.403157356,1
27372,"20K - 40K €",0.712354613,13,FALSE,"10%",0.209247881,1
65754,"20K - 40K €",0.435110087,13,FALSE,"40%",NA,1
17479,"0 - 20K €",0.707173476,16,TRUE,"40%",NA,1
49356,"0 - 20K €",0.382718442,20,FALSE,"10%",6.810883706,0
25617,"0 - 20K €",0.655047907,7,TRUE,"30%",6.875568322,0
13405,"0 - 20K €",0.729671281,20,TRUE,"20%",6.968013324,1
20190,"60K+ €",0.718450454,19,FALSE,"20%",0.418467352,1
43615,"0 - 20K €",0.706858535,15,TRUE,"0%",NA,1
13549,"0 - 20K €",0.346147758,17,FALSE,"30%",5.448878624,0
51267,"0 - 20K €",0.648233014,12,FALSE,"10%",0.640268844,1
18032,"20K - 40K €",0.492951478,20,TRUE,"0%",4.464510509,0
26797,"20K - 40K €",0.376514338,6,FALSE,"40%",NA,0
19132,"0 - 20K €",0.291540579,15,FALSE,"40%",6.782557475,0
23868,"20K - 40K €",0.69771983,18,TRUE,"20%",6.853264479,1
47851,"40K - 60K €",0.693610253,7,TRUE,"10%",6.474981825,0
10830,"0 - 20K €",0.261715373,10,FALSE,"20%",4.593045205,0
25058,"20K - 40K €",0.72600495,6,TRUE,"10%",6.69041344,0
28486,"20K - 40K €",0.523103527,21,FALSE,"40%",1.030667575,1
35866,"40K - 60K €",0.710057506,7,TRUE,"0%",6.692392017,0
