"car_value","debt_to_income_ratio","loan_length","repaid_loan_on_prev_car","payment_to_income","downpayment_amount","loan_to_value_ratio","driver_tenure","repaid","salary_range.0...20K..","salary_range.20K...40K..","salary_range.40K...60K..","salary_range.60K..."
14484,0.480114698,16,0,0.239349864993731,0,1,5.909466283,"Not_Repaid",1,0,0,0
35143,0.627741152,20,0,0.468801711347086,140.572,0.996,0.806488174,"Repaid",0,0,1,0
47038,0.667570113,15,0,0.824773505286408,94.076,0.998,0.506484677,"Repaid",0,0,1,0
14544,0.61600865,21,0,0.185376646414841,58.176,0.996,2.669056866,"Repaid",0,1,0,0
10916,0.689824159,7,1,0.399521763906263,21.832,0.998,4.039229547,"Not_Repaid",0,1,0,0
98417,0.368155796,21,0,1.25441511346325,393.668,0.996,6.900037073,"Not_Repaid",1,0,0,0
17456,0.30527915,17,0,0.272108706899203,17.456,0.999,2.203228444,"Not_Repaid",1,0,0,0
73076,0.556884208,6,0,3.1038077332034,292.304,0.996,6.819018381,"Not_Repaid",0,1,0,0
14105,0.292140785,13,0,0.283224300377728,42.315,0.997,6.851517339,"Not_Repaid",1,0,0,0
11435,0.632898555,20,0,0.153000438189164,11.435,0.999,4.014640284,"Repaid",0,1,0,0
53451,0.671628957,6,1,2.27482022750205,106.902,0.998,6.939636944,"Not_Repaid",0,1,0,0
25823,0.491019894,6,1,1.09679822506037,103.292,0.996,5.61724191448511,"Not_Repaid",0,1,0,0
56266,0.623558332,6,1,2.38982492085531,225.064,0.996,6.373281698,"Not_Repaid",1,0,0,0
37177,0.638660901,20,0,0.496930782638996,74.354,0.998,4.34188408537656,"Repaid",0,1,0,0
14375,0.72645513,21,1,0.183958419777387,0,1,6.287210494,"Repaid",0,1,0,0
11761,0.492479277,16,1,0.194351958173934,0,1,5.885140112,"Not_Repaid",1,0,0,0
30432,0.334860906,18,0,0.448589573475637,91.296,0.997,6.031703139,"Not_Repaid",1,0,0,0
12261,0.65269578,12,1,0.266374640971836,12.261,0.999,5.803759338,"Repaid",0,0,1,0
29484,0.69421584,6,0,1.25355174604147,88.452,0.997,5.836902544,"Not_Repaid",0,0,1,0
16286,0.711101471,19,1,0.227944693347281,65.144,0.996,6.729555861,"Repaid",0,1,0,0
51865,0.705665876,21,1,0.661730812621141,155.595,0.997,4.37042029,"Repaid",0,1,0,0
14554,0.274662456,16,0,0.240506623523803,0,1,4.68322349,"Not_Repaid",1,0,0,0
39011,0.323025693,19,1,0.546011938608055,156.044,0.996,6.958210467,"Not_Repaid",1,0,0,0
12841,0.731211752,12,1,0.279254604471476,0,1,2.250034773,"Not_Repaid",0,0,0,1
24098,0.711583148,9,0,0.690515720134356,48.196,0.998,0.391100402,"Repaid",0,1,0,0
19062,0.69068222,19,0,0.267066454406112,57.186,0.997,0.488075042,"Repaid",0,0,1,0
20464,0.617342478,6,0,0.869181693747254,81.856,0.996,6.649145063,"Not_Repaid",1,0,0,0
22618,0.316132572,8,1,0.725268517772387,90.472,0.996,6.46030985,"Not_Repaid",1,0,0,0
81579,0.64644765,19,1,1.14639450215068,0,1,6.802544919,"Repaid",0,1,0,0
11884,0.72838272,20,1,0.159167230846065,0,1,3.937249085,"Repaid",0,0,0,1
10399,0.316660927,13,0,0.209227771945995,10.399,0.999,5.04271964,"Not_Repaid",1,0,0,0
19028,0.69508212,20,0,0.253830320789698,76.112,0.996,3.89542279,"Repaid",0,0,1,0
13244,0.629444721,21,0,0.169145921454515,26.488,0.998,1.968958273,"Not_Repaid",0,1,0,0
10591,0.413931781,11,1,0.250439342477732,0,1,0.844281489,"Not_Repaid",1,0,0,0
47643,0.629580319,11,1,1.12208052755093,190.572,0.996,4.50033183252556,"Not_Repaid",1,0,0,0
50907,0.694778016,21,1,0.649507962558651,152.721,0.997,6.064723285,"Repaid",1,0,0,0
19147,0.599868968,10,0,0.49540853270325,38.294,0.998,0.345592238,"Repaid",0,1,0,0
12472,0.709423942,17,1,0.194222196122679,24.944,0.998,4.844817039,"Repaid",0,0,1,0
31419,0.726810441,20,0,0.419124177469599,125.676,0.996,0.349183476,"Repaid",0,0,0,1
29552,0.718841898,21,1,0.377045579380699,88.656,0.997,2.90890103323533,"Repaid",0,0,1,0
13319,0.728631454,6,1,0.567979059465956,0,1,6.095901134,"Not_Repaid",0,0,0,1
64524,0.72977624,6,1,2.74332427287953,193.572,0.997,0.019529314,"Repaid",0,0,0,1
22734,0.715489722,17,0,0.354383555376173,22.734,0.999,0.63922923,"Repaid",0,1,0,0
60245,0.335481058,18,0,0.887163914806445,240.98,0.996,6.572965445,"Not_Repaid",1,0,0,0
32688,0.616568861,14,0,0.611480151175171,98.064,0.997,2.93732016222886,"Repaid",1,0,0,0
50722,0.728096852,12,0,1.10195371824268,50.722,0.999,0.511828725,"Repaid",0,1,0,0
24454,0.364440111,19,0,0.343641515041772,0,1,3.992317555,"Not_Repaid",1,0,0,0
18090,0.537421908,6,1,0.769120576783687,54.27,0.997,5.612591492,"Not_Repaid",0,0,1,0
39911,0.455414549,20,0,0.534009662314625,39.911,0.999,5.92730304626118,"Not_Repaid",1,0,0,0
11380,0.432948,14,0,0.213307736359257,11.38,0.999,4.85532306091922,"Not_Repaid",1,0,0,0
22976,0.302340151,17,0,0.357438885996843,68.928,0.997,6.500967589,"Not_Repaid",1,0,0,0
12251,0.729755103,19,1,0.171985861150567,12.251,0.999,2.822219601,"Repaid",0,0,0,1
51698,0.519695464,13,1,1.03808081396156,155.094,0.997,5.363789822,"Repaid",0,0,1,0
78995,0.51022582,20,0,1.05695405463516,78.995,0.999,4.318715837,"Not_Repaid",1,0,0,0
98093,0.296594942,21,0,1.25028543569658,392.372,0.996,6.886389536,"Not_Repaid",1,0,0,0
20981,0.331142558,19,0,0.294542106995351,20.981,0.999,4.364982566,"Not_Repaid",1,0,0,0
49702,0.580920196,18,1,0.733378084533712,99.404,0.998,6.335160198,"Repaid",0,1,0,0
38944,0.674434571,20,0,0.521071190628668,38.944,0.999,5.718723156,"Not_Repaid",1,0,0,0
13698,0.684790446,20,1,0.182912479800152,41.094,0.997,2.256311088,"Repaid",0,0,0,1
28389,0.703880305,6,1,1.20820698281708,56.778,0.998,5.885709219,"Not_Repaid",0,0,0,1
46086,0.704964732,6,1,1.96137331396343,92.172,0.998,4.907753174,"Not_Repaid",0,0,0,1
20502,0.642098238,14,0,0.383521967064163,61.506,0.997,3.54789014651085,"Repaid",0,0,1,0
50064,0.723876885,14,0,0.93652540040485,150.192,0.997,0.126539908,"Repaid",0,0,1,0
16397,0.650675792,13,0,0.329907469621932,16.397,0.999,1.62598848,"Repaid",1,0,0,0
12407,0.692862891,21,0,0.158614938578355,12.407,0.999,1.535127294,"Repaid",0,0,1,0
63043,0.28389662,19,0,0.88325834042202,189.129,0.997,6.859948564,"Not_Repaid",1,0,0,0
14793,0.62089283,13,1,0.297932939228015,0,1,6.728089135,"Repaid",1,0,0,0
94363,0.480555463,17,1,1.47095519644417,94.363,0.999,6.85610655,"Repaid",0,1,0,0
31329,0.416545228,18,0,0.462738402005135,31.329,0.999,6.815846865,"Not_Repaid",1,0,0,0
79893,0.601010292,20,1,1.0668292267976,239.679,0.997,6.737045315,"Repaid",1,0,0,0
12339,0.700503376,20,1,0.164765446653094,37.017,0.997,4.613322081,"Repaid",0,1,0,0
19282,0.702613683,18,0,0.283945466101716,77.128,0.996,1.340014729,"Repaid",0,0,1,0
20194,0.717889303,17,1,0.314789369106467,20.194,0.999,6.886943032,"Repaid",1,0,0,0
37201,0.566028562,6,1,1.58006392636296,148.804,0.996,4.680015169,"Not_Repaid",1,0,0,0
15224,0.273347471,18,1,0.225087976422468,0,1,5.739012599,"Not_Repaid",1,0,0,0
13624,0.683488125,6,1,0.579242605754613,40.872,0.997,6.523166064,"Not_Repaid",0,1,0,0
28453,0.712806728,19,0,0.398638224069726,85.359,0.997,0.589671048,"Repaid",0,0,1,0
43129,0.360813366,20,0,0.577066541203364,43.129,0.999,5.545939615,"Not_Repaid",1,0,0,0
11469,0.703880687,17,1,0.178781780443799,11.469,0.999,3.331933271,"Repaid",0,0,1,0
11905,0.531296523,21,0,0.152349564344333,0,1,5.732957474,"Repaid",0,1,0,0
14562,0.55616291,21,0,0.185606072957434,58.248,0.996,5.276399238,"Repaid",0,1,0,0
14490,0.630350828,6,1,0.616679671035241,28.98,0.998,2.934241153,"Not_Repaid",0,0,0,1
44276,0.53179409,20,0,0.591227402221605,132.828,0.997,6.943264414,"Not_Repaid",1,0,0,0
18328,0.285043989,16,1,0.302872433416535,0,1,5.147367315,"Not_Repaid",1,0,0,0
11057,0.649830106,21,0,0.141214621981468,22.114,0.998,3.535362988,"Repaid",0,1,0,0
89080,0.41373517,17,1,1.38443242945848,356.32,0.996,6.868927935,"Repaid",1,0,0,0
26995,0.679452602,21,0,0.344767000125689,53.99,0.998,0.771295673,"Repaid",0,1,0,0
24659,0.423555518,18,0,0.36385598540334,49.318,0.998,6.434619583,"Not_Repaid",1,0,0,0
28601,0.717148682,11,1,0.67563523921928,28.601,0.999,4.73536050866882,"Not_Repaid",0,1,0,0
15968,0.495568784,19,0,0.22371824278443,47.904,0.997,6.329607771,"Not_Repaid",1,0,0,0
24659,0.611533707,18,1,0.36312681509191,98.636,0.996,1.017018226,"Repaid",0,0,1,0
12736,0.399503662,17,1,0.198532108791719,12.736,0.999,5.18850425098891,"Not_Repaid",1,0,0,0
11785,0.551570417,6,1,0.500552495153019,47.14,0.996,6.674400502,"Not_Repaid",1,0,0,0
11751,0.705832928,13,1,0.235719997903937,47.004,0.996,5.126953981,"Repaid",0,1,0,0
29038,0.700427333,8,1,0.933001904365025,58.076,0.998,6.710876831,"Not_Repaid",0,1,0,0
84108,0.718040553,6,1,3.57596426048216,252.324,0.997,4.364564483,"Repaid",0,0,1,0
12377,0.729949767,21,1,0.158073019468629,24.754,0.998,6.522861934,"Repaid",0,1,0,0
33612,0.727943778,12,0,0.730232805835196,33.612,0.999,2.428977553,"Not_Repaid",0,0,1,0
29023,0.611657866,21,0,0.369924808092543,116.092,0.996,0.762708291,"Repaid",0,1,0,0
11060,0.341891742,12,0,0.240282483414771,11.06,0.999,4.068529055,"Not_Repaid",1,0,0,0
15085,0.696707138,16,1,0.249281463230491,0,1,1.427405616,"Repaid",0,0,1,0
14487,0.516973335,19,0,0.203375983224901,14.487,0.999,5.08265587656873,"Not_Repaid",1,0,0,0
22894,0.374678837,18,0,0.338489498963216,0,1,4.824032383,"Not_Repaid",1,0,0,0
46727,0.48465559,20,1,0.623330323709282,186.908,0.996,6.734302345,"Not_Repaid",1,0,0,0
13325,0.675657344,6,1,0.565961985397877,53.3,0.996,5.51264951423335,"Not_Repaid",0,0,1,0
31388,0.66074006,12,0,0.681915604830273,31.388,0.999,0.365449602,"Repaid",1,0,0,0
11240,0.560199598,19,0,0.157792921339676,11.24,0.999,3.316272378,"Repaid",1,0,0,0
14306,0.72630999,21,1,0.18270926852373,28.612,0.998,5.119721611,"Repaid",0,0,1,0
21817,0.704468368,21,0,0.278077715541295,87.268,0.996,3.711692604,"Repaid",0,0,1,0
38894,0.3443809,6,1,1.65197189193734,155.576,0.996,5.68135473946487,"Not_Repaid",0,1,0,0
47479,0.724091389,18,0,0.699172636917507,189.916,0.996,0.283045681,"Repaid",0,0,0,1
49709,0.711936357,14,0,0.929884570324479,149.127,0.997,0.444740481,"Repaid",1,0,0,0
11803,0.272337262,15,0,0.207163484697457,11.803,0.999,6.383037663,"Not_Repaid",1,0,0,0
47037,0.689499496,20,1,0.629355628430584,47.037,0.999,6.156134527,"Not_Repaid",1,0,0,0
24756,0.6820705,9,0,0.710791953549647,0,1,0.436302971,"Repaid",1,0,0,0
20641,0.676921102,12,1,0.448433159146861,20.641,0.999,6.709465824,"Repaid",1,0,0,0
27919,0.683944622,19,0,0.391941331929041,27.919,0.999,0.249657875,"Repaid",0,1,0,0
52803,0.714451142,20,1,0.704383142140973,211.212,0.996,6.514164151,"Repaid",1,0,0,0
12753,0.70324117,19,1,0.179033196249546,12.753,0.999,3.462120561,"Repaid",0,1,0,0
10948,0.691865364,8,1,0.351763373820108,21.896,0.998,6.467105673,"Not_Repaid",1,0,0,0
38438,0.368706968,19,0,0.538532177864975,115.314,0.997,6.811494699,"Not_Repaid",1,0,0,0
16658,0.60391859,6,1,0.708237178997383,49.974,0.997,6.183555757,"Not_Repaid",0,1,0,0
17991,0.727325589,7,1,0.658464277614289,35.982,0.998,5.52318283,"Not_Repaid",0,1,0,0
66487,0.656326193,21,1,0.848288760025871,199.461,0.997,5.67197051230003,"Repaid",0,1,0,0
14735,0.689111567,13,1,0.295577752456345,58.94,0.996,3.2605873595015,"Repaid",0,0,0,1
85954,0.713458064,6,0,3.66178031423226,85.954,0.999,0.109740784,"Repaid",1,0,0,0
23546,0.707838686,13,0,0.472796836348385,70.638,0.997,0.151262064,"Repaid",0,0,0,1
21445,0.627464242,14,1,0.401162256545262,64.335,0.997,1.929340768,"Repaid",0,0,1,0
13897,0.703549383,10,1,0.359570291898316,27.794,0.998,4.21185071254107,"Not_Repaid",0,1,0,0
18284,0.597136894,12,1,0.396431237021416,54.852,0.997,6.855734673,"Repaid",0,1,0,0
22532,0.321285706,17,0,0.350883140076667,45.064,0.998,6.829109631,"Not_Repaid",1,0,0,0
43078,0.358229928,20,1,0.574653277221916,172.312,0.996,6.771205388,"Not_Repaid",1,0,0,0
30692,0.361510452,17,0,0.478913860707082,0,1,6.530867845,"Not_Repaid",1,0,0,0
77982,0.726872187,11,0,1.8421519256249,77.982,0.999,0.139188647,"Repaid",0,1,0,0
66991,0.706921758,7,1,2.45676057922408,0,1,4.743903852,"Not_Repaid",0,0,0,1
63597,0.502052428,6,0,2.70119957863781,254.388,0.996,6.865296398,"Not_Repaid",1,0,0,0
41253,0.365088142,18,0,0.607488969665703,165.012,0.996,6.648301285,"Not_Repaid",1,0,0,0
16438,0.692741852,11,0,0.388311319963866,16.438,0.999,0.222878405,"Repaid",0,0,1,0
81392,0.546617854,20,1,1.08575559542333,325.568,0.996,5.088082492,"Repaid",0,1,0,0
54658,0.663360458,19,1,0.766549129520522,109.316,0.998,6.408639714,"Repaid",0,1,0,0
12212,0.722533434,21,1,0.155809441506399,36.636,0.997,2.55477941370413,"Repaid",0,0,0,1
13580,0.709742961,13,1,0.273229458892837,13.58,0.999,3.989964816,"Not_Repaid",0,1,0,0
24749,0.704929114,19,0,0.347091448763281,49.498,0.998,0.293528531,"Not_Repaid",0,0,1,0
54107,0.597771732,7,1,1.98029718575267,108.214,0.998,6.445750446,"Not_Repaid",0,1,0,0
80608,0.469258217,12,1,1.75299082292942,0,1,6.90667054,"Repaid",0,1,0,0
14007,0.511587726,21,0,0.178711336978392,42.021,0.997,3.239792268,"Repaid",0,1,0,0
17086,0.726900874,21,1,0.218651378108969,0,1,5.35014801074003,"Repaid",0,1,0,0
37661,0.718186524,20,1,0.502391407991424,150.644,0.996,6.891658599,"Repaid",1,0,0,0
48245,0.722701506,6,1,2.05531553226302,48.245,0.999,6.848353335,"Not_Repaid",0,0,1,0
16753,0.379525218,18,0,0.246951272490712,50.259,0.997,5.69373773,"Not_Repaid",1,0,0,0
37022,0.690733814,21,1,0.472353188949386,111.066,0.997,5.821713523,"Repaid",0,0,1,0
15954,0.472232428,17,0,0.248197248746241,47.862,0.997,5.872592232,"Not_Repaid",1,0,0,0
16882,0.267519862,15,1,0.295419083649253,67.528,0.996,6.346989673,"Not_Repaid",1,0,0,0
11548,0.684296066,6,1,0.490978685500167,34.644,0.997,5.744554835,"Not_Repaid",0,0,1,0
40731,0.588795731,20,1,0.544981272224124,40.731,0.999,4.65988052,"Not_Repaid",1,0,0,0
43715,0.728204775,15,0,0.766507372413694,87.43,0.998,0.701626833,"Repaid",0,1,0,0
18479,0.70340752,18,0,0.273213394397714,0,1,0.44561215,"Repaid",0,0,1,0
22370,0.265659867,15,0,0.391846935576097,67.11,0.997,6.238903729,"Not_Repaid",1,0,0,0
45562,0.34772787,18,0,0.672963933485204,45.562,0.999,6.450605003,"Not_Repaid",1,0,0,0
36952,0.541970795,14,1,0.692631588220323,36.952,0.999,6.509302177,"Repaid",0,1,0,0
65161,0.678426743,20,1,0.870982239759519,130.322,0.998,6.08304599538268,"Repaid",1,0,0,0
44777,0.27380485,6,1,1.90184463941169,179.108,0.996,2.340401446,"Not_Repaid",1,0,0,0
26520,0.532902706,18,0,0.391315979273149,53.04,0.998,5.48561863370624,"Not_Repaid",1,0,0,0
13209,0.532541499,10,1,0.341426559943504,39.627,0.997,2.886431324,"Not_Repaid",0,1,0,0
16581,0.725427224,21,0,0.211552272323747,49.743,0.997,0.403157356,"Repaid",0,0,0,1
27372,0.712354613,13,0,0.550724355582822,27.372,0.999,0.209247881,"Repaid",0,1,0,0
65754,0.435110087,13,0,1.31899691449029,263.016,0.996,5.45918519031742,"Repaid",0,1,0,0
13405,0.729671281,20,1,0.179179523395534,26.81,0.998,6.968013324,"Repaid",1,0,0,0
43615,0.706858535,15,1,0.76628652587855,0,1,3.99924741331384,"Repaid",1,0,0,0
13549,0.346147758,17,0,0.21078253248482,40.647,0.997,5.448878624,"Not_Repaid",1,0,0,0
51267,0.648233014,12,0,1.1137940395321,51.267,0.999,0.640268844,"Repaid",1,0,0,0
18032,0.492951478,20,1,0.241509887800088,0,1,4.464510509,"Not_Repaid",0,1,0,0
26797,0.376514338,6,0,1.13816760395549,107.188,0.996,5.63633512463552,"Not_Repaid",0,1,0,0
19132,0.291540579,15,0,0.3347919623491,76.528,0.996,6.782557475,"Not_Repaid",1,0,0,0
23868,0.69771983,18,1,0.352184381345834,47.736,0.998,6.853264479,"Repaid",0,1,0,0
47851,0.693610253,7,1,1.75308462369535,47.851,0.999,6.474981825,"Not_Repaid",0,0,1,0
10830,0.261715373,10,0,0.280214885317606,21.66,0.998,4.593045205,"Not_Repaid",1,0,0,0
25058,0.72600495,6,1,1.06751158892003,25.058,0.999,6.69041344,"Not_Repaid",0,1,0,0
28486,0.523103527,21,0,0.363080249571863,113.944,0.996,1.030667575,"Repaid",0,1,0,0
35866,0.710057506,7,1,1.3153136232397,0,1,6.692392017,"Not_Repaid",0,0,1,0
32286,0.404377311,18,0,0.477350920045705,0,1,6.716424714,"Not_Repaid",1,0,0,0
39258,0.35958587,18,0,0.579271595562039,78.516,0.998,6.631995217,"Not_Repaid",1,0,0,0
58404,0.574828552,13,1,1.17508787313529,58.404,0.999,6.922570124,"Repaid",1,0,0,0
65088,0.388469099,11,1,1.53909885026821,0,1,6.830586237,"Repaid",0,1,0,0
13169,0.726401712,17,1,0.205487313686028,0,1,6.360015581,"Not_Repaid",1,0,0,0
44305,0.593888064,19,0,0.621976457291313,44.305,0.999,6.857210856,"Not_Repaid",1,0,0,0
57244,0.294187389,18,0,0.84297138582754,228.976,0.996,6.836513622,"Not_Repaid",1,0,0,0
12703,0.273215655,13,0,0.255328387937501,25.406,0.998,5.53447792,"Not_Repaid",1,0,0,0
16469,0.627561932,21,0,0.210123296116024,49.407,0.997,2.911779097,"Repaid",0,0,1,0
18265,0.722529211,17,1,0.285004615724451,0,1,5.731533942,"Not_Repaid",0,1,0,0
93877,0.579731184,20,1,1.25356072902606,281.631,0.997,6.883045068,"Repaid",1,0,0,0
